Customer ID,Product ID,Product Name,Review,Positive Aspect Terms,Negative Aspect Terms,Sentiment
CUST00769,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its camera quality, though its limited ports bothers me sometimes.",camera quality,limited ports,Positive
CUST01386,PROD001,Apple iPhone 15 Pro Max,"I really love the speed of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its size.",speed,size,Positive
CUST01259,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its storage capacity, but the short cable needs improvement.",storage capacity,short cable,Positive
CUST00880,PROD001,Apple iPhone 15 Pro Max,"While the durability of the Apple iPhone 15 Pro Max impressed me, the price was underwhelming.",durability,price,Mixed
CUST01667,PROD001,Apple iPhone 15 Pro Max,"The design on the Apple iPhone 15 Pro Max is outstanding, although the short cable could be better.",design,short cable,Negative
CUST01765,PROD001,Apple iPhone 15 Pro Max,"While the build quality of the Apple iPhone 15 Pro Max impressed me, the weight was underwhelming.",build quality,weight,Mixed
CUST00472,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its storage capacity, but the short cable needs improvement.",storage capacity,short cable,Positive
CUST01277,PROD001,Apple iPhone 15 Pro Max,"While the speed of the Apple iPhone 15 Pro Max impressed me, the limited ports was underwhelming.",speed,limited ports,Positive
CUST00127,PROD001,Apple iPhone 15 Pro Max,"While the storage capacity of the Apple iPhone 15 Pro Max impressed me, the fragile screen was underwhelming.",storage capacity,fragile screen,Positive
CUST01868,PROD001,Apple iPhone 15 Pro Max,"While the performance of the Apple iPhone 15 Pro Max impressed me, the weight was underwhelming.",performance,weight,Positive
CUST00361,PROD001,Apple iPhone 15 Pro Max,"The sound clarity on the Apple iPhone 15 Pro Max is outstanding, although the software bugs could be better.",sound clarity,software bugs,Positive
CUST00179,PROD001,Apple iPhone 15 Pro Max,"I really love the performance of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its price.",performance,price,Positive
CUST00907,PROD001,Apple iPhone 15 Pro Max,"I really love the storage capacity of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its software bugs.",storage capacity,software bugs,Mixed
CUST01809,PROD001,Apple iPhone 15 Pro Max,"While the display of the Apple iPhone 15 Pro Max impressed me, the fragile screen was underwhelming.",display,fragile screen,Positive
CUST01195,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its performance, though its price bothers me sometimes.",performance,price,Mixed
CUST01950,PROD001,Apple iPhone 15 Pro Max,"I really love the design of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its overheating.",design,overheating,Positive
CUST01535,PROD001,Apple iPhone 15 Pro Max,"The display on the Apple iPhone 15 Pro Max is outstanding, although the slow updates could be better.",display,slow updates,Positive
CUST01874,PROD001,Apple iPhone 15 Pro Max,"While the performance of the Apple iPhone 15 Pro Max impressed me, the slow updates was underwhelming.",performance,slow updates,Negative
CUST00129,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its display, but the weight needs improvement.",display,weight,Positive
CUST01901,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its build quality, though its limited ports bothers me sometimes.",build quality,limited ports,Positive
CUST00878,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its storage capacity, though its battery drain bothers me sometimes.",storage capacity,battery drain,Negative
CUST01584,PROD001,Apple iPhone 15 Pro Max,"The battery life on the Apple iPhone 15 Pro Max is outstanding, although the fragile screen could be better.",battery life,fragile screen,Mixed
CUST01999,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its sound clarity, but the slow updates needs improvement.",sound clarity,slow updates,Positive
CUST01613,PROD001,Apple iPhone 15 Pro Max,"While the sound clarity of the Apple iPhone 15 Pro Max impressed me, the software bugs was underwhelming.",sound clarity,software bugs,Negative
CUST00505,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its display, but the short cable needs improvement.",display,short cable,Positive
CUST01825,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its design, though its battery drain bothers me sometimes.",design,battery drain,Mixed
CUST01274,PROD001,Apple iPhone 15 Pro Max,"The performance on the Apple iPhone 15 Pro Max is outstanding, although the price could be better.",performance,price,Positive
CUST00723,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its durability, but the price needs improvement.",durability,price,Mixed
CUST02051,PROD001,Apple iPhone 15 Pro Max,"The design on the Apple iPhone 15 Pro Max is outstanding, although the software bugs could be better.",design,software bugs,Mixed
CUST01119,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its display, though its slow updates bothers me sometimes.",display,slow updates,Positive
CUST00463,PROD001,Apple iPhone 15 Pro Max,"The storage capacity on the Apple iPhone 15 Pro Max is outstanding, although the weight could be better.",storage capacity,weight,Positive
CUST01506,PROD001,Apple iPhone 15 Pro Max,"The battery life on the Apple iPhone 15 Pro Max is outstanding, although the weight could be better.",battery life,weight,Mixed
CUST02065,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its ease of use, though its heating issues bothers me sometimes.",ease of use,heating issues,Positive
CUST00280,PROD001,Apple iPhone 15 Pro Max,"While the durability of the Apple iPhone 15 Pro Max impressed me, the software bugs was underwhelming.",durability,software bugs,Mixed
CUST01415,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its sound clarity, but the slow updates needs improvement.",sound clarity,slow updates,Positive
CUST00794,PROD001,Apple iPhone 15 Pro Max,"I really love the speed of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its heating issues.",speed,heating issues,Mixed
CUST00552,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its durability, but the slow updates needs improvement.",durability,slow updates,Positive
CUST01979,PROD001,Apple iPhone 15 Pro Max,"The ease of use on the Apple iPhone 15 Pro Max is outstanding, although the software bugs could be better.",ease of use,software bugs,Positive
